Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2021,AFG,60.417
Albania,2021,ALB,76.844
Algeria,2021,DZA,75.208
American Samoa,2021,ASM,72.708
Andorra,2021,AND,82.331
Angola,2021,AGO,62.958
Antigua and Barbuda,2021,ATG,77.197
Argentina,2021,ARG,73.948
Armenia,2021,ARM,72.278
Aruba,2021,ABW,73.655
Australia,2021,AUS,83.300
Austria,2021,AUT,81.190
Azerbaijan,2021,AZE,70.999
"Bahamas, The",2021,BHS,70.752
Bahrain,2021,BHR,78.083
Bangladesh,2021,BGD,71.103
Barbados,2021,BRB,76.580
Belarus,2021,BLR,72.071
Belgium,2021,BEL,81.790
Belize,2021,BLZ,70.917
Benin,2021,BEN,59.610
Bermuda,2021,BMU,81.745
Bhutan,2021,BTN,72.448
Bolivia,2021,BOL,61.427
Bosnia and Herzegovina,2021,BIH,74.567
Botswana,2021,BWA,63.303
Brazil,2021,BRA,73.038
British Virgin Islands,2021,VGB,75.297
Brunei Darussalam,2021,BRN,74.869
Bulgaria,2021,BGR,71.212
Burkina Faso,2021,BFA,60.046
Burundi,2021,BDI,62.101
Cabo Verde,2021,CPV,74.424
Cambodia,2021,KHM,69.301
Cameroon,2021,CMR,61.146
Canada,2021,CAN,81.517
Cayman Islands,2021,CYM,79.300
Central African Republic,2021,CAF,40.279
Chad,2021,TCD,53.136
Channel Islands,2021,CHI,80.300
Chile,2021,CHL,78.876
China,2021,CHN,78.117
Colombia,2021,COL,72.698
Comoros,2021,COM,65.201
"Congo, Dem. Rep.",2021,COD,60.044
"Congo, Rep.",2021,COG,64.192
Costa Rica,2021,CRI,78.050
Cote d'Ivoire,2021,CIV,60.290
Croatia,2021,HRV,76.424
Cuba,2021,CUB,73.201
Curacao,2021,CUW,75.686
Cyprus,2021,CYP,80.573
Czechia,2021,CZE,77.222
Denmark,2021,DNK,81.405
Djibouti,2021,DJI,63.830
Dominica,2021,DMA,69.832
Dominican Republic,2021,DOM,71.757
Ecuador,2021,ECU,72.746
"Egypt, Arab Rep.",2021,EGY,68.976
El Salvador,2021,SLV,69.941
Equatorial Guinea,2021,GNQ,62.447
Eritrea,2021,ERI,66.940
Estonia,2021,EST,76.944
Eswatini,2021,SWZ,58.228
Ethiopia,2021,ETH,65.330
Faroe Islands,2021,FRO,82.844
Fiji,2021,FJI,64.904
Finland,2021,FIN,81.885
France,2021,FRA,82.324
French Polynesia,2021,PYF,79.571
Gabon,2021,GAB,67.072
"Gambia, The",2021,GMB,63.847
Georgia,2021,GEO,71.635
Germany,2021,DEU,80.790
Ghana,2021,GHA,64.286
Gibraltar,2021,GIB,80.274
Greece,2021,GRC,80.083
Greenland,2021,GRL,71.814
Grenada,2021,GRD,74.522
Guam,2021,GUM,75.434
Guatemala,2021,GTM,67.858
Guinea,2021,GIN,59.373
Guinea-Bissau,2021,GNB,61.653
Guyana,2021,GUY,64.323
Haiti,2021,HTI,62.613
Honduras,2021,HND,69.492
"Hong Kong SAR, China",2021,HKG,85.533
Hungary,2021,HUN,74.066
Iceland,2021,ISL,83.166
India,2021,IND,67.282
Indonesia,2021,IDN,67.452
"Iran, Islamic Rep.",2021,IRN,73.752
Iraq,2021,IRQ,70.704
Ireland,2021,IRL,82.254
Isle of Man,2021,IMN,80.420
Israel,2021,ISR,82.500
Italy,2021,ITA,82.646
Jamaica,2021,JAM,69.085
Japan,2021,JPN,84.446
Jordan,2021,JOR,74.204
Kazakhstan,2021,KAZ,70.131
Kenya,2021,KEN,61.225
Kiribati,2021,KIR,64.148
"Korea, Dem. People's Rep.",2021,PRK,73.437
"Korea, Rep.",2021,KOR,83.527
Kosovo,2021,XKX,74.981
Kuwait,2021,KWT,78.737
Kyrgyz Republic,2021,KGZ,71.900
Lao PDR,2021,LAO,67.807
Latvia,2021,LVA,72.980
Lebanon,2021,LBN,73.650
Lesotho,2021,LSO,54.209
Liberia,2021,LBR,61.166
Libya,2021,LBY,72.062
Liechtenstein,2021,LIE,84.402
Lithuania,2021,LTU,74.037
Luxembourg,2021,LUX,82.598
"Macao SAR, China",2021,MAC,83.729
Madagascar,2021,MDG,62.516
Malawi,2021,MWI,64.782
Malaysia,2021,MYS,73.917
Maldives,2021,MDV,78.052
Mali,2021,MLI,59.116
Malta,2021,MLT,82.259
Marshall Islands,2021,MHL,65.421
Mauritania,2021,MRT,66.762
Mauritius,2021,MUS,73.680
Mexico,2021,MEX,69.750
"Micronesia, Fed. Sts.",2021,FSM,66.152
Moldova,2021,MDA,68.991
Monaco,2021,MCO,85.113
Mongolia,2021,MNG,71.645
Montenegro,2021,MNE,73.824
Morocco,2021,MAR,73.385
Mozambique,2021,MOZ,60.268
