Economy,Year,Economy Code,"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)"
Afghanistan,2018,AFG,35.000
Albania,2018,ALB,6.000
Algeria,2018,DZA,
American Samoa,2018,ASM,
Andorra,2018,AND,
Angola,2018,AGO,25.000
Antigua and Barbuda,2018,ATG,
Argentina,2018,ARG,5.000
Armenia,2018,ARM,5.000
Aruba,2018,ABW,
Australia,2018,AUS,3.000
Austria,2018,AUT,4.000
Azerbaijan,2018,AZE,5.000
"Bahamas, The",2018,BHS,
Bahrain,2018,BHR,
Bangladesh,2018,BGD,23.000
Barbados,2018,BRB,
Belarus,2018,BLR,6.000
Belgium,2018,BEL,5.000
Belize,2018,BLZ,8.000
Benin,2018,BEN,15.000
Bermuda,2018,BMU,
Bhutan,2018,BTN,9.000
Bolivia,2018,BOL,18.000
Bosnia and Herzegovina,2018,BIH,3.000
Botswana,2018,BWA,17.000
Brazil,2018,BRA,6.000
British Virgin Islands,2018,VGB,
Brunei Darussalam,2018,BRN,
Bulgaria,2018,BGR,6.000
Burkina Faso,2018,BFA,11.000
Burundi,2018,BDI,22.000
Cabo Verde,2018,CPV,11.000
Cambodia,2018,KHM,9.000
Cameroon,2018,CMR,22.000
Canada,2018,CAN,3.000
Cayman Islands,2018,CYM,
Central African Republic,2018,CAF,21.000
Chad,2018,TCD,16.000
Channel Islands,2018,CHI,
Chile,2018,CHL,6.000
China,2018,CHN,8.000
Colombia,2018,COL,12.000
Comoros,2018,COM,8.000
"Congo, Dem. Rep.",2018,COD,36.000
"Congo, Rep.",2018,COG,
Costa Rica,2018,CRI,7.000
Cote d'Ivoire,2018,CIV,16.000
Croatia,2018,HRV,4.000
Cuba,2018,CUB,5.000
Curacao,2018,CUW,
Cyprus,2018,CYP,3.000
Czechia,2018,CZE,4.000
Denmark,2018,DNK,3.000
Djibouti,2018,DJI,
Dominica,2018,DMA,
Dominican Republic,2018,DOM,10.000
Ecuador,2018,ECU,8.000
"Egypt, Arab Rep.",2018,EGY,15.000
El Salvador,2018,SLV,6.000
Equatorial Guinea,2018,GNQ,29.000
Eritrea,2018,ERI,
Estonia,2018,EST,4.000
Eswatini,2018,SWZ,18.000
Ethiopia,2018,ETH,27.000
Faroe Islands,2018,FRO,
Fiji,2018,FJI,23.000
Finland,2018,FIN,8.000
France,2018,FRA,5.000
French Polynesia,2018,PYF,
Gabon,2018,GAB,22.000
"Gambia, The",2018,GMB,10.000
Georgia,2018,GEO,3.000
Germany,2018,DEU,5.000
Ghana,2018,GHA,10.000
Gibraltar,2018,GIB,
Greece,2018,GRC,5.000
Greenland,2018,GRL,
Grenada,2018,GRD,8.000
Guam,2018,GUM,
Guatemala,2018,GTM,7.000
Guinea,2018,GIN,21.000
Guinea-Bissau,2018,GNB,
Guyana,2018,GUY,10.000
Haiti,2018,HTI,12.000
Honduras,2018,HND,7.000
"Hong Kong SAR, China",2018,HKG,3.000
Hungary,2018,HUN,6.000
Iceland,2018,ISL,3.000
India,2018,IND,18.000
Indonesia,2018,IDN,9.000
"Iran, Islamic Rep.",2018,IRN,18.000
Iraq,2018,IRQ,
Ireland,2018,IRL,3.000
Isle of Man,2018,IMN,
Israel,2018,ISR,6.000
Italy,2018,ITA,4.000
Jamaica,2018,JAM,7.000
Japan,2018,JPN,4.000
Jordan,2018,JOR,13.000
Kazakhstan,2018,KAZ,6.000
Kenya,2018,KEN,23.000
Kiribati,2018,KIR,25.000
"Korea, Dem. People's Rep.",2018,PRK,
"Korea, Rep.",2018,KOR,8.000
Kosovo,2018,XKX,5.000
Kuwait,2018,KWT,
Kyrgyz Republic,2018,KGZ,13.000
Lao PDR,2018,LAO,8.000
Latvia,2018,LVA,6.000
Lebanon,2018,LBN,
Lesotho,2018,LSO,16.000
Liberia,2018,LBR,27.000
Libya,2018,LBY,
Liechtenstein,2018,LIE,
Lithuania,2018,LTU,5.000
Luxembourg,2018,LUX,4.000
"Macao SAR, China",2018,MAC,
Madagascar,2018,MDG,
Malawi,2018,MWI,17.000
Malaysia,2018,MYS,
Maldives,2018,MDV,6.000
Mali,2018,MLI,18.000
Malta,2018,MLT,4.000
Marshall Islands,2018,MHL,19.000
Mauritania,2018,MRT,
Mauritius,2018,MUS,
Mexico,2018,MEX,10.000
"Micronesia, Fed. Sts.",2018,FSM,21.000
Moldova,2018,MDA,9.000
Monaco,2018,MCO,
Mongolia,2018,MNG,12.000
Montenegro,2018,MNE,4.000
Morocco,2018,MAR,10.000
Mozambique,2018,MOZ,16.000
Myanmar,2018,MMR,11.000
Namibia,2018,NAM,16.000
Nauru,2018,NRU,20.000
Nepal,2018,NPL,11.000
Netherlands,2018,NLD,5.000
New Caledonia,2018,NCL,
New Zealand,2018,NZL,4.000
Nicaragua,2018,NIC,6.000
Niger,2018,NER,13.000
Nigeria,2018,NGA,13.000
North Macedonia,2018,MKD,4.000
Northern Mariana Islands,2018,MNP,
Norway,2018,NOR,4.000
Oman,2018,OMN,
Pakistan,2018,PAK,16.000
Palau,2018,PLW,14.000
Panama,2018,PAN,8.000
Papua New Guinea,2018,PNG,31.000
Paraguay,2018,PRY,6.000
Peru,2018,PER,11.000
Philippines,2018,PHL,6.000
Poland,2018,POL,3.000
Portugal,2018,PRT,4.000
Puerto Rico,2018,PRI,
Qatar,2018,QAT,
Romania,2018,ROU,7.000
Russian Federation,2018,RUS,
Rwanda,2018,RWA,23.000
Samoa,2018,WSM,18.000
San Marino,2018,SMR,
Sao Tome and Principe,2018,STP,18.000
Saudi Arabia,2018,SAU,
Senegal,2018,SEN,12.000
Serbia,2018,SRB,4.000
Seychelles,2018,SYC,
Sierra Leone,2018,SLE,20.000
Singapore,2018,SGP,2.000
Sint Maarten (Dutch part),2018,SXM,
Slovak Republic,2018,SVK,6.000
Slovenia,2018,SVN,3.000
Solomon Islands,2018,SLB,28.000
Somalia,2018,SOM,
South Africa,2018,ZAF,13.000
South Sudan,2018,SSD,27.000
Spain,2018,ESP,3.000
Sri Lanka,2018,LKA,4.000
St. Kitts and Nevis,2018,KNA,
St. Lucia,2018,LCA,
St. Martin (French part),2018,MAF,
St. Vincent and the Grenadines,2018,VCT,
Sudan,2018,SDN,17.000
Suriname,2018,SUR,8.000
Sweden,2018,SWE,6.000
Switzerland,2018,CHE,2.000
Syrian Arab Republic,2018,SYR,
Tajikistan,2018,TJK,14.000
Tanzania,2018,TZA,24.000
Thailand,2018,THA,9.000
Timor-Leste,2018,TLS,28.000
Togo,2018,TGO,13.000
Tonga,2018,TON,17.000
Trinidad and Tobago,2018,TTO,7.000
Tunisia,2018,TUN,10.000
Turkiye,2018,TUR,12.000
Turkmenistan,2018,TKM,
Turks and Caicos Islands,2018,TCA,
Tuvalu,2018,TUV,20.000
Uganda,2018,UGA,26.000
Ukraine,2018,UKR,9.000
United Arab Emirates,2018,ARE,
United Kingdom,2018,GBR,4.000
United States,2018,USA,6.000
Uruguay,2018,URY,4.000
Uzbekistan,2018,UZB,
Vanuatu,2018,VUT,29.000
"Venezuela, RB",2018,VEN,8.000
Vietnam,2018,VNM,10.000
Virgin Islands (U.S.),2018,VIR,
West Bank and Gaza,2018,PSE,19.000
"Yemen, Rep.",2018,YEM,
Zambia,2018,ZMB,28.000
Zimbabwe,2018,ZWE,18.000
