Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2023,AFG,66.035
Albania,2023,ALB,79.602
Algeria,2023,DZA,76.261
American Samoa,2023,ASM,72.852
Andorra,2023,AND,84.041
Angola,2023,AGO,64.617
Antigua and Barbuda,2023,ATG,77.598
Argentina,2023,ARG,77.395
Armenia,2023,ARM,77.466
Aruba,2023,ABW,76.353
Australia,2023,AUS,83.051
Austria,2023,AUT,81.541
Azerbaijan,2023,AZE,74.429
"Bahamas, The",2023,BHS,74.552
Bahrain,2023,BHR,81.284
Bangladesh,2023,BGD,74.672
Barbados,2023,BRB,76.178
Belarus,2023,BLR,74.184
Belgium,2023,BEL,82.398
Belize,2023,BLZ,73.566
Benin,2023,BEN,60.774
Bermuda,2023,BMU,82.309
Bhutan,2023,BTN,72.975
Bolivia,2023,BOL,68.581
Bosnia and Herzegovina,2023,BIH,77.850
Botswana,2023,BWA,69.163
Brazil,2023,BRA,75.848
British Virgin Islands,2023,VGB,77.276
Brunei Darussalam,2023,BRN,75.327
Bulgaria,2023,BGR,75.707
Burkina Faso,2023,BFA,61.092
Burundi,2023,BDI,63.651
Cabo Verde,2023,CPV,76.059
Cambodia,2023,KHM,70.668
Cameroon,2023,CMR,63.700
Canada,2023,CAN,81.647
Cayman Islands,2023,CYM,80.358
Central African Republic,2023,CAF,57.408
Chad,2023,TCD,55.069
Channel Islands,2023,CHI,81.100
Chile,2023,CHL,81.167
China,2023,CHN,77.953
Colombia,2023,COL,77.725
Comoros,2023,COM,66.777
"Congo, Dem. Rep.",2023,COD,61.895
"Congo, Rep.",2023,COG,65.772
Costa Rica,2023,CRI,80.799
Cote d'Ivoire,2023,CIV,61.944
Croatia,2023,HRV,78.473
Cuba,2023,CUB,78.085
Curacao,2023,CUW,76.800
Cyprus,2023,CYP,81.648
Czechia,2023,CZE,79.878
Denmark,2023,DNK,81.854
Djibouti,2023,DJI,65.987
Dominica,2023,DMA,71.132
Dominican Republic,2023,DOM,73.720
Ecuador,2023,ECU,77.392
"Egypt, Arab Rep.",2023,EGY,71.633
El Salvador,2023,SLV,72.099
Equatorial Guinea,2023,GNQ,63.707
Eritrea,2023,ERI,68.624
Estonia,2023,EST,78.490
Eswatini,2023,SWZ,64.123
Ethiopia,2023,ETH,67.315
Faroe Islands,2023,FRO,83.144
Fiji,2023,FJI,67.316
Finland,2023,FIN,81.685
France,2023,FRA,82.929
French Polynesia,2023,PYF,84.070
Gabon,2023,GAB,68.337
"Gambia, The",2023,GMB,65.860
Georgia,2023,GEO,74.496
Germany,2023,DEU,80.541
Ghana,2023,GHA,65.498
Gibraltar,2023,GIB,83.553
Greece,2023,GRC,81.537
Greenland,2023,GRL,71.550
Grenada,2023,GRD,75.205
Guam,2023,GUM,77.209
Guatemala,2023,GTM,72.602
Guinea,2023,GIN,60.740
Guinea-Bissau,2023,GNB,64.085
Guyana,2023,GUY,70.180
Haiti,2023,HTI,64.936
Honduras,2023,HND,72.884
"Hong Kong SAR, China",2023,HKG,85.247
Hungary,2023,HUN,76.771
Iceland,2023,ISL,82.607
India,2023,IND,72.003
Indonesia,2023,IDN,71.146
"Iran, Islamic Rep.",2023,IRN,77.654
Iraq,2023,IRQ,72.324
Ireland,2023,IRL,82.861
Isle of Man,2023,IMN,80.999
Israel,2023,ISR,83.195
Italy,2023,ITA,83.700
Jamaica,2023,JAM,71.479
Japan,2023,JPN,84.041
Jordan,2023,JOR,77.814
Kazakhstan,2023,KAZ,74.402
Kenya,2023,KEN,63.646
Kiribati,2023,KIR,66.473
"Korea, Dem. People's Rep.",2023,PRK,73.642
"Korea, Rep.",2023,KOR,83.429
Kosovo,2023,XKX,78.033
Kuwait,2023,KWT,83.188
Kyrgyz Republic,2023,KGZ,72.249
Lao PDR,2023,LAO,68.964
Latvia,2023,LVA,75.678
Lebanon,2023,LBN,77.817
Lesotho,2023,LSO,57.375
Liberia,2023,LBR,62.163
Libya,2023,LBY,69.339
Liechtenstein,2023,LIE,84.841
Lithuania,2023,LTU,76.988
Luxembourg,2023,LUX,83.359
"Macao SAR, China",2023,MAC,83.180
Madagascar,2023,MDG,63.632
Malawi,2023,MWI,67.353
Malaysia,2023,MYS,76.657
Maldives,2023,MDV,81.041
Mali,2023,MLI,60.439
Malta,2023,MLT,83.507
Marshall Islands,2023,MHL,66.945
Mauritania,2023,MRT,68.484
Mauritius,2023,MUS,73.412
Mexico,2023,MEX,75.069
"Micronesia, Fed. Sts.",2023,FSM,67.198
Moldova,2023,MDA,71.198
Monaco,2023,MCO,86.372
Mongolia,2023,MNG,72.122
Montenegro,2023,MNE,77.588
Morocco,2023,MAR,75.313
Mozambique,2023,MOZ,63.611
Myanmar,2023,MMR,66.889
Namibia,2023,NAM,67.385
Nauru,2023,NRU,62.109
Nepal,2023,NPL,70.354
Netherlands,2023,NLD,81.915
New Caledonia,2023,NCL,78.766
New Zealand,2023,NZL,83.005
Nicaragua,2023,NIC,74.947
Niger,2023,NER,61.183
Nigeria,2023,NGA,54.462
North Macedonia,2023,MKD,75.316
Northern Mariana Islands,2023,MNP,78.808
Norway,2023,NOR,83.112
Oman,2023,OMN,80.031
Pakistan,2023,PAK,67.649
Palau,2023,PLW,69.269
Panama,2023,PAN,79.594
Papua New Guinea,2023,PNG,66.134
Paraguay,2023,PRY,73.844
Peru,2023,PER,77.740
Philippines,2023,PHL,69.833
Poland,2023,POL,78.507
Portugal,2023,PRT,82.280
Puerto Rico,2023,PRI,81.690
Qatar,2023,QAT,82.368
Romania,2023,ROU,76.607
Russian Federation,2023,RUS,73.255
Rwanda,2023,RWA,67.785
Samoa,2023,WSM,71.698
San Marino,2023,SMR,85.706
Sao Tome and Principe,2023,STP,69.718
Saudi Arabia,2023,SAU,78.732
Senegal,2023,SEN,68.683
Serbia,2023,SRB,76.221
Seychelles,2023,SYC,74.959
